title,orchestra,singer,year,decade,style,duration_seconds,combo_key,album,filename,duration,bpm,onset_rate,danceability,key,scale,key_strength,chords_changes_rate,chords_number_rate,hpcp_entropy,tuning_frequency,average_loudness,dynamic_complexity,spectral_centroid_mean,spectral_centroid_stdev,spectral_complexity_mean,spectral_energy_mean,spectral_rolloff_mean,spectral_flux_mean,dissonance_mean,zerocrossingrate_mean,mirex_mood_passionate_rousing_confident_boisterous_rowdy,mirex_mood_rollicking_cheerful_fun_sweet_amiable_good_natured,mirex_mood_literate_poignant_wistful_bittersweet_autumnal_brooding,mirex_mood_humorous_silly_campy_quirky_whimsical_witty_wry,mirex_mood_aggressive_fiery_tense_anxious_intense_volatile_visceral,jamendo_alternative,jamendo_ambient,jamendo_atmospheric,jamendo_chillout,jamendo_classical,jamendo_dance,jamendo_downtempo,jamendo_easylistening,jamendo_electronic,jamendo_experimental,jamendo_folk,jamendo_funk,jamendo_hiphop,jamendo_house,jamendo_indie,jamendo_instrumentalpop,jamendo_jazz,jamendo_lounge,jamendo_metal,jamendo_newage,jamendo_orchestral,jamendo_pop,jamendo_popfolk,jamendo_poprock,jamendo_reggae,jamendo_rock,jamendo_soundtrack,jamendo_techno,jamendo_trance,jamendo_triphop,jamendo_world,jamendo_acousticguitar,jamendo_bass,jamendo_computer,jamendo_drummachine,jamendo_drums,jamendo_electricguitar,jamendo_electricpiano,jamendo_guitar,jamendo_keyboard,jamendo_piano,jamendo_strings,jamendo_synthesizer,jamendo_violin,jamendo_voice,jamendo_emotional,jamendo_energetic,jamendo_film,jamendo_happy,jamendo_relaxing,is_danceable,mood_happy,mood_sad,mood_relaxed,mood_aggressive,mood_party,mood_acoustic,mood_electronic
Asi Me Gusta A Mi,Angel D'Agostino,Angel Vargas,1942.0,1940s,milonga,168.95,angel d'agostino | angel vargas | milonga,vol-21 la fiesta de buenos aires,27 asi me gusta a mi.mp3,169.09060668945312,100.0076141357422,3.589359998703003,1.0164011716842651,D,major,0.8122336268424988,0.0831732079386711,0.0041174856014549,1.5100622177124023,438.9845581054688,0.4202631115913391,6.860919952392578,823.9642333984375,1766.7451171875,6.801620006561279,0.0149901891127228,1149.693115234375,0.0463506355881691,0.3478102385997772,0.0376050285995006,0.0064490712247788,0.3358433246612549,0.2389163821935653,0.4127717018127441,0.006019689142704,0.0380729883909225,0.0179074369370937,0.0023437086492776,0.0059233573265373,0.421107143163681,0.0025610839948058,0.0014064768329262,0.034602615982294,0.0553077161312103,0.042322501540184,0.1313570737838745,0.001748417969793,0.0125601375475525,0.001852702582255,0.0222112480551004,0.0126109914854168,0.0216275472193956,0.0061299703083932,0.0012497584102675,0.0069816196337342,0.0176276974380016,0.1051814705133438,0.0390290655195713,0.0058897454291582,0.0149995684623718,0.0166896991431713,0.0353358946740627,0.0017305026995018,0.0005931087071076,0.0022275475785136,0.0799205005168914,0.0061625363305211,0.0153506314381957,0.0039680735208094,0.0032045601401478,0.0260104984045028,0.0141161205247044,0.0030091570224612,0.0118815544992685,0.004970958456397,0.1051249504089355,0.0116926357150077,0.0096336156129837,0.0170529037714004,0.0238944813609123,0.0055601238273084,0.0050213765352964,0.0119399204850196,0.0122697772458195,0.006762761157006,0.0065338094718754,0.1050376817584037,0.8227280974388123,0.9959753155708312,0.006605498958379,0.018182948231697,0.8882732391357422,0.0207796692848205
Compadreando,Angel D'Agostino,Angel Vargas,1941.0,1940s,milonga,152.95,angel d'agostino | angel vargas | milonga,vol-21 la fiesta de buenos aires,28 compadreando.mp3,153.07754516601562,104.22991943359376,4.278552532196045,1.0206866264343262,D,minor,0.728110134601593,0.0627653151750564,0.0036385687999427,1.6532371044158936,447.43255615234375,0.749258816242218,4.67723560333252,1230.0819091796875,1804.7127685546875,11.939338684082031,0.017468249425292,1642.2835693359375,0.0597153641283512,0.4281622171401977,0.052933495491743,0.0145422127097845,0.5481141805648804,0.17894347012043,0.2483196854591369,0.0100804045796394,0.0249919556081295,0.0130451563745737,0.001700741238892,0.0064869942143559,0.4529880285263061,0.002457209629938,0.0010430214460939,0.0305581875145435,0.0242407191544771,0.022040344774723,0.250765860080719,0.0019222844857722,0.0135890506207942,0.001775317126885,0.0130457319319248,0.01258226018399,0.0289312992244958,0.0048954621888697,0.0013244982110336,0.0051943529397249,0.0287717394530773,0.0747100636363029,0.0446531288325786,0.0060751931741833,0.0301853530108928,0.0178184024989604,0.0365766882896423,0.0017017449717968,0.0005748412222601,0.0015258222119882,0.1335455328226089,0.010486708022654,0.0211905371397733,0.0041739512234926,0.0031878454610705,0.0416769385337829,0.0122174685820937,0.0033409304451197,0.0128732705488801,0.0060558090917766,0.1131278797984123,0.0180025491863489,0.0103661222383379,0.0321663916110992,0.0273632854223251,0.005124450661242,0.0084151094779372,0.0169491227716207,0.0139212934300303,0.0059491731226444,0.0608717650175094,0.3410527110099792,0.3632240295410156,0.7861388325691223,0.0085534062236547,0.0976912528276443,0.5865301489830017,0.0514258816838264
En Lo de Laura,Angel D'Agostino,Angel Vargas,1943.0,1940s,milonga,142.36,angel d'agostino | angel vargas | milonga,vol-06 la fiesta de buenos aires,26 en lo de laura.mp3,142.68081665039062,99.30154418945312,3.6160225868225098,1.0635360479354858,D,minor,0.8349495530128479,0.0816525667905807,0.0039037084206938,1.4733173847198486,453.1546630859375,0.6871582269668579,5.279083728790283,909.5921630859376,1959.8135986328125,8.007322311401367,0.0167233161628246,1318.235595703125,0.0522465892136096,0.3664487600326538,0.0420259535312652,0.005437477491796,0.3032863438129425,0.3376417160034179,0.3485468327999115,0.0050876094028353,0.0260911639779806,0.0135890413075685,0.0018124148482456,0.0046051596291363,0.3157240450382232,0.0029187083709985,0.0009994187857955,0.0232388228178024,0.0348017178475856,0.0205963216722011,0.141903281211853,0.0022558760829269,0.0064616543240845,0.0020755371078848,0.0158339999616146,0.0105410544201731,0.0167996399104595,0.0037471589166671,0.0012162984348833,0.0042277975007891,0.0245085358619689,0.1385489851236343,0.0273849591612815,0.007674747146666,0.0127015430480241,0.0181271657347679,0.0401357561349868,0.0017621724400669,0.0005694855353794,0.0013034376315772,0.0828073695302009,0.0066800378262996,0.0162620693445205,0.0033327541314065,0.0024986010976135,0.0392412915825843,0.0132775288075208,0.00268010282889,0.0106770088896155,0.0059471959248185,0.0542424581944942,0.0158761106431484,0.0157034154981374,0.023307591676712,0.0231664963066577,0.0041131637990474,0.0061357822269201,0.0133579736575484,0.0126826623454689,0.0041528427973389,0.0058536524884402,0.0675916448235511,0.7591952681541443,0.9835754632949828,0.0077892434783279,0.0217530708760023,0.814219057559967,0.0223152637481689
Entre Copa y Copa,Angel D'Agostino,Angel Vargas,1942.0,1940s,milonga,150.28,angel d'agostino | angel vargas | milonga,vol-06 la fiesta de buenos aires,28 entre copa y copa.mp3,150.62203979492188,100.83885192871094,3.989658832550049,1.0791215896606443,G,major,0.7117242813110352,0.0764252692461013,0.0033898304682224,1.5132019519805908,449.7646484375,0.8045591115951538,4.677943706512451,1088.7825927734375,1907.82861328125,9.678329467773438,0.0177248977124691,1445.88037109375,0.0580822601914405,0.4124250113964081,0.0461446084082126,0.008997393772006,0.5469563603401184,0.207518458366394,0.227887362241745,0.0086403414607048,0.0231040231883525,0.0144302593544125,0.0015130271203815,0.0049398150295019,0.6383037567138672,0.0017207582714036,0.0008318451000377,0.0292105395346879,0.0204768348485231,0.024545595049858,0.2819650173187256,0.0012425302993506,0.010615924373269,0.001250535948202,0.0072933817282319,0.0132304606959223,0.0228642877191305,0.0040271352045238,0.0009830442722886,0.0065942532382905,0.0312420204281806,0.0353280529379844,0.0368499867618083,0.0026533282361924,0.0117338020354509,0.0093240942806005,0.0402846708893775,0.0013685149606317,0.0004937484627589,0.0011142756557092,0.1619288027286529,0.0077588064596056,0.0107202725484967,0.0031652804464101,0.0019409130327403,0.0181920379400253,0.0047246576286852,0.0020991754718124,0.0105484565719962,0.0036675434093922,0.1239288300275802,0.0162304285913705,0.0088439965620636,0.0361572094261646,0.0181088540703058,0.0050039459019899,0.0053633004426956,0.0222041588276624,0.0112455869093537,0.0069685936905443,0.0240202657878398,0.2245277762413025,0.4908786416053772,0.8452320098876953,0.0146200312301516,0.0846375375986099,0.7170248627662659,0.0045238630846142
Porque Me Siento Feliz,Angel D'Agostino,Angel Vargas,1945.0,1940s,milonga,151.82,angel d'agostino | angel vargas | milonga,vol-06 la fiesta de buenos aires,29 porque me siento feliz.mp3,152.16326904296875,101.40103149414062,4.087169170379639,1.0839030742645264,C,minor,0.7419466972351074,0.0710799247026443,0.0036607687361538,1.5400110483169556,450.02447509765625,0.8409758806228638,4.380566120147705,1090.44580078125,1481.3404541015625,11.36338710784912,0.0179606545716524,1443.69287109375,0.0629372298717498,0.4168452620506286,0.048158161342144,0.010770671069622,0.4758540093898773,0.218906357884407,0.2882263362407684,0.0062426938675343,0.0313788503408432,0.0133375553414225,0.0013341574231162,0.0054578171111643,0.5101213455200195,0.0017984022852033,0.0008310258272103,0.0303049404174089,0.0226060859858989,0.0264443513005971,0.289946585893631,0.0014195324620231,0.0122435120865702,0.0012172767892479,0.0119955539703369,0.0141295585781335,0.0205275937914848,0.0044418987818062,0.0008916300139389,0.0050052367150783,0.026570439338684,0.0572632290422916,0.0391195341944694,0.0042670904658734,0.0163686852902174,0.0151639124378561,0.0403990037739276,0.0014619372086599,0.0003575545269995,0.0012881440343335,0.1368035674095153,0.0101812295615673,0.0150759881362319,0.003896574024111,0.0022455374710261,0.0313433893024921,0.0077806822955608,0.0024479199200868,0.0117617966607213,0.0043825511820614,0.0957824736833572,0.0177062787115573,0.0094908755272626,0.0359625928103923,0.0219885613769292,0.0046732323244214,0.0065085422247648,0.0187808480113744,0.0108899623155593,0.0054729310795664,0.0184383243322372,0.2788823246955871,0.6336431503295898,0.964372217655182,0.0003704079426825,0.0632229074835777,0.6688696146011353,0.0119163319468498
Con Permiso,Anibal Troilo,Alberto Marino,1944.0,1940s,milonga,153.0,anibal troilo | alberto marino | milonga,vol-25 la fiesta de buenos aires,26 con permiso.mp3,153.12979125976562,100.4423370361328,3.9504473209381104,1.0875046253204346,E,minor,0.8253480195999146,0.0748711749911308,0.004243710078299,1.6256659030914309,434.6950073242188,0.8032310009002686,4.68076229095459,1065.2257080078125,1694.32470703125,10.68708324432373,0.01619254052639,1340.2047119140625,0.0567627176642417,0.4187380373477936,0.0443901382386684,0.0138676464557647,0.5348080396652222,0.2418342977762222,0.2002245336771011,0.0092655019834637,0.0261791665107011,0.0209158323705196,0.0021517276763916,0.0071904379874467,0.6145495176315308,0.0023526377044618,0.0013567617861554,0.0339434258639812,0.0287762619554996,0.0249088536947965,0.1135950163006782,0.001569643500261,0.0196165051311254,0.0017993757501244,0.0103264609351754,0.0095354849472641,0.0219361204653978,0.0052643953822553,0.0012888744240626,0.0063288025557994,0.0525875352323055,0.0400812737643718,0.0231345556676387,0.0040411329828202,0.011333892121911,0.0123612461611628,0.0555618628859519,0.0018128049559891,0.000624022912234,0.0017886578571051,0.0794003084301948,0.0059844455681741,0.0163183249533176,0.0044763404875993,0.0030435253866016,0.0301997084170579,0.0082647921517491,0.003051841398701,0.0113828293979167,0.0061643365770578,0.1513259559869766,0.0240218751132488,0.0122480290010571,0.0377260036766529,0.0246102511882781,0.007685394026339,0.0069637983106076,0.0290625672787427,0.0125740114599466,0.0076993382535874,0.0144397635012865,0.3458178043365478,0.3673892319202423,0.7617731094360352,0.0074849086813628,0.1758670657873153,0.8011435270309448,0.0140102580189704
El Barrio Del Tambor,Anibal Troilo,Alberto Marino,1943.0,1940s,milonga,155.66,anibal troilo | alberto marino | milonga,vol-25 la fiesta de buenos aires,29 el barrio del tambor.mp3,155.79428100585938,110.0530014038086,3.382413864135742,1.0120757818222046,E,minor,0.8571747541427612,0.0706197842955589,0.0029797377064824,1.7240357398986816,444.85552978515625,0.2926484644412994,4.894557952880859,787.1299438476562,1343.6807861328125,10.187602043151855,0.017473068088293,975.575927734375,0.0577036142349243,0.4221188127994537,0.0353241749107837,0.016206257045269,0.418922483921051,0.3304413259029388,0.2245011329650879,0.0099288271740078,0.0361079089343547,0.0397609360516071,0.0033827703446149,0.0110293310135602,0.6289333701133728,0.0024189203977584,0.0018006133614107,0.0342383868992328,0.0327500253915786,0.0494036860764026,0.1631208509206771,0.0018025392200797,0.0133826564997434,0.0021720910444855,0.0106762982904911,0.0095512270927429,0.0282382685691118,0.0071768295019865,0.001406404771842,0.0092021292075514,0.0823744907975196,0.0364444702863693,0.0242660772055387,0.0040031694807112,0.0125385271385312,0.0141002628952264,0.092050090432167,0.0024150370154529,0.0008143921149894,0.0020319016184657,0.1140955314040184,0.0069539556279778,0.0166473351418972,0.0055815777741372,0.0027686939574778,0.0228297747671604,0.0065139434300363,0.0036835866048932,0.0193931926041841,0.0064087253995239,0.2063889652490615,0.0334197506308555,0.0165399182587862,0.0389581248164176,0.0202055219560861,0.0112660210579633,0.0067631481215357,0.0375293456017971,0.0135670322924852,0.0113685764372348,0.0257462114095687,0.3503365814685821,0.5706243515014648,0.9517621994018556,9.990209218813106e-05,0.0269519444555044,0.6335529088973999,0.181396022439003
Ropa Blanca,Anibal Troilo,Alberto Marino,1943.0,1940s,milonga,171.4,anibal troilo | alberto marino | milonga,vol-25 la fiesta de buenos aires,28 ropa blanca.mp3,171.54612731933594,109.6419448852539,3.479819297790528,0.9684159755706788,G,major,0.7768138647079468,0.0587280094623565,0.0032476319465786,1.7269912958145142,451.3260803222656,0.7210484743118286,5.208495616912842,1080.507568359375,1754.99072265625,11.174989700317385,0.0158736445009708,1372.7513427734375,0.0593159720301628,0.4169743061065674,0.0454543009400367,0.0133328577503561,0.3355568051338196,0.4414829015731811,0.1996627300977707,0.0099647520110011,0.0176476202905178,0.0158023387193679,0.0013749757781624,0.0050037493929266,0.4604766070842743,0.0018079580040648,0.000845358648803,0.0176582392305135,0.0278751924633979,0.0295753665268421,0.2764706313610077,0.0011429463047534,0.0146715361624956,0.0013679747935384,0.0091339293867349,0.0078036207705736,0.0122741777449846,0.0042392662726342,0.0009247757261618,0.0046636350452899,0.0227997526526451,0.0288990344852209,0.0233505293726921,0.0029261566232889,0.0419703796505928,0.0100919231772422,0.032340932637453,0.0014910879544913,0.0005218249862082,0.0012681888183578,0.151485726237297,0.0047200266271829,0.0080000534653663,0.003523763269186,0.0021240224596112,0.0123983435332775,0.0051545617170631,0.0022928153630346,0.0091772358864545,0.0039905020967125,0.0845618918538093,0.0100496746599674,0.0085463384166359,0.0187402963638305,0.0153926629573106,0.0036093769595026,0.0044388161040842,0.0142381507903337,0.0080927023664116,0.0051768636330962,0.0247701648622751,0.4660012722015381,0.6896229386329651,0.8815681338310242,0.0126807065680623,0.0856551826000213,0.6067680716514587,0.0288022346794605
Con Toda La Voz Que Tengo,Anibal Troilo,Francisco Fiorentino,1941.0,1940s,milonga,149.4,anibal troilo | francisco fiorentino | milonga,vol-09 la fiesta de buenos aires,27 con toda la voz que tengo.mp3,149.73387145996094,112.64385986328124,3.9533746242523193,1.086294651031494,D,major,0.8676583766937256,0.0703657791018486,0.0030998140573501,1.5492199659347534,450.2844848632813,0.8036739826202393,4.214046001434326,1006.5155639648438,1856.22509765625,9.883721351623535,0.0179643258452415,1313.610107421875,0.0578428506851196,0.4115500450134277,0.0430150032043457,0.0062927668914198,0.5724316835403442,0.1955622881650924,0.2202532589435577,0.0054601137526333,0.0169938057661056,0.0155362216755747,0.0016180594684556,0.0053366879001259,0.522585391998291,0.0017132814973592,0.0008838910725899,0.0300555638968944,0.0259373523294925,0.0235942602157592,0.3046854734420776,0.0014283951604738,0.0136569878086447,0.0014433328760787,0.0068929372355341,0.011808069422841,0.0276111494749784,0.0050115357153117,0.0008422307437285,0.0050851814448833,0.0314172841608524,0.0344067215919494,0.0297236796468496,0.0026657539419829,0.0152458474040031,0.0097885839641094,0.0370022021234035,0.0014223619364202,0.0004654964723158,0.0012225522659718,0.1289803236722946,0.0072188912890851,0.0140731977298855,0.0033497081603854,0.0022581911180168,0.021443236619234,0.0061116679571568,0.0024185928050428,0.0102617209777235,0.0035667174961417,0.1228448078036308,0.0135980760678648,0.0071969246491789,0.0252924151718616,0.015894591808319,0.0047390228137373,0.0061868717893958,0.0187560338526964,0.0121953273192048,0.0064421701245009,0.0153374746441841,0.3759202361106872,0.483242392539978,0.8196375966072083,0.0074927574023604,0.0776616260409355,0.7213420867919922,0.0046283532865345
Del Tiempo Guapo,Anibal Troilo,Francisco Fiorentino,1941.0,1940s,milonga,144.26,anibal troilo | francisco fiorentino | milonga,vol-09 la fiesta de buenos aires,29 del tiempo guapo.mp3,144.58775329589844,112.26756286621094,4.073241710662842,1.078593134880066,G,major,0.8095517158508301,0.0789727121591568,0.0041733547113835,1.6563317775726318,442.0379333496094,0.7895550727844238,4.05469274520874,1187.3355712890625,1431.113037109375,12.28933811187744,0.0186059903353452,1526.831787109375,0.0628894492983818,0.4273519814014435,0.0505858734250068,0.0096363583579659,0.6204699277877808,0.1570823341608047,0.2048137336969375,0.0079975239932537,0.0255052149295806,0.0202178955078125,0.0022229102905839,0.0069883144460618,0.5721114873886108,0.002247683238238,0.0009572559501975,0.03538204357028,0.0290049146860837,0.0271794218569993,0.1551501154899597,0.0016276403330266,0.0091576790437102,0.0013390386011451,0.0141219217330217,0.0123811746016144,0.0252174492925405,0.0060987137258052,0.0016011070692911,0.0061045344918966,0.0439992100000381,0.0781479701399803,0.0293289553374052,0.0067093018442392,0.0141554344445467,0.0241917874664068,0.0611466951668262,0.0017917872173711,0.0005289395921863,0.0013569729635491,0.0945765525102615,0.0092063536867499,0.0233683567494153,0.0036795069463551,0.0026092596817761,0.0423934459686279,0.0125147048383951,0.0037782771978527,0.0233969446271657,0.0061978455632925,0.1429248452186584,0.0254212412983179,0.012287862598896,0.0418987050652504,0.0184011217206716,0.0066685695201158,0.008712837472558,0.0194546300917863,0.0197710786014795,0.006303047761321,0.0081252260133624,0.1697674542665481,0.5298011302947998,0.9238646626472472,0.0062048658728599,0.1193232014775276,0.3301359713077545,0.0548283755779266
Ficha De Oro,Anibal Troilo,Francisco Fiorentino,1942.0,1940s,milonga,168.66,anibal troilo | francisco fiorentino | milonga,vol-36 la fiesta de buenos aires,26 ficha de oro.mp3,168.8032684326172,109.87047576904295,4.045712947845459,0.974624752998352,E,minor,0.7250683903694153,0.0627062693238258,0.0030253024306148,1.6719671487808228,442.2933654785156,0.4735288321971893,4.491062641143799,973.518798828125,1731.73046875,9.541604042053224,0.0155651979148387,1269.04248046875,0.0532049685716629,0.4090872406959533,0.0420399345457553,0.0090008750557899,0.5440453886985779,0.2241332828998565,0.2150512039661407,0.0077691683545708,0.0243984144181013,0.0225767008960247,0.0021996730938553,0.0090333987027406,0.7260714769363403,0.0025283785071223,0.0012305346317589,0.0443319156765937,0.0234347693622112,0.0272511765360832,0.187689334154129,0.0015201130881905,0.0108142662793397,0.0017167973564937,0.0086415605619549,0.0157263539731502,0.0477886088192462,0.00596943218261,0.0009640812058933,0.0098747611045837,0.0438602976500988,0.0492382831871509,0.0330702103674411,0.0031825837213546,0.0047346758656203,0.0090512633323669,0.0525451339781284,0.0015438486589118,0.0006095784483477,0.0013851879630237,0.1238479018211364,0.0080898702144622,0.0116187520325183,0.0042661996558308,0.0022686664015054,0.0187021847814321,0.0056045614182949,0.0034697756636887,0.0137933203950524,0.0042638988234102,0.2180686593055725,0.0248479880392551,0.0089127449318766,0.0383393876254558,0.0147724347189068,0.0088075939565896,0.0061399466358125,0.024436755105853,0.0185170453041791,0.0108961900696158,0.0080776074901223,0.1151024177670478,0.4920588135719299,0.9280567169189452,0.0094614150002598,0.0887802243232727,0.7634713053703308,0.0314237214624881
