file_path,filename,local_title,local_orchestra,tt_url,tt_id,tt_title,genre,composition_year,composer,lyricist,version_vocal,version_formation,version_orchestra,recording_date,recording_year,recording_city,recording_label,recording_catalog,version_duration,match_confidence,match_status
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\01 Al Compas De Un Tango.mp3,01 Al Compas De Un Tango.mp3,Al Compas De Un Tango,Ricardo Tanturi (Alberto Castillo),https://www.todotango.com/musica/tema/1804/Al-compas-de-un-tango/,1804.0,Al compás de un tango,Tango,1942.0,Alberto Suárez Villanueva,Oscar Rubens,Alberto Castillo,Orquesta,Ricardo Tanturi,18-3-1942,1942.0,Buenos Aires,RCA-Victor,39553 69618,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\01 Al Verla Pasar.mp3,01 Al Verla Pasar.mp3,Al Verla Pasar,Pedro Laurenz (Juan Carlos Casas),https://www.todotango.com/musica/tema/42/Al-verla-pasar/,42.0,Al verla pasar,Tango,,Joaquín Mora,José María Contursi,Martín Podestá,Orquesta,Pedro Laurenz,7-1-1942,1942.0,Buenos Aires,RCA-Victor,39493 59986,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\01 Arrabal.mp3,01 Arrabal.mp3,Arrabal,Pedro Laurenz (Instrumental),https://www.todotango.com/musica/tema/723/Arrabal/,723.0,Arrabal,Tango,,José Pascual,,Instrumental,Orquesta,Pedro Laurenz,24-9-1937,1937.0,Buenos Aires,RCA-Victor,38284 93913,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\01 Asi Se Canta.mp3,01 Asi Se Canta.mp3,Asi Se Canta,Ricardo Tanturi (Enrique Campos),https://www.todotango.com/musica/tema/4097/Asi-se-canta/,4097.0,Así se canta,Tango,1943.0,Elías Randal,Marvil,Enrique Campos,Orquesta,Ricardo Tanturi,19-8-1943,1943.0,Buenos Aires,RCA-Victor,60-0190 77161,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\01 Bohardilla.mp3,01 Bohardilla.mp3,Bohardilla,Miguel Caló (Raúl Iriarte),https://www.todotango.com/musica/tema/867/Bohardilla/,867.0,Bohardilla,Tango,1944.0,Rodolfo Blasi,Horacio Sanguinetti,Raúl Iriarte,Orquesta,Miguel Caló,19-4-1944,1944.0,Buenos Aires,Odeon,8387 13708,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\01 Cachirulo.mp3,01 Cachirulo.mp3,Cachirulo,Anibal Troilo (Instrumental),https://www.todotango.com/musica/tema/5493/Cachirulo/,5493.0,Cachirulo,Tango,,Francisco Cafiero,,Instrumental,Orquesta,Aníbal Troilo,4-3-1941,1941.0,Buenos Aires,RCA-Victor,39256 39825,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\01 Cara Sucia.mp3,01 Cara Sucia.mp3,Cara Sucia,Carlos Di Sarli (Instrumental),https://www.todotango.com/musica/tema/4444/Cara-sucia/,4444.0,Cara sucia,Tango,,Francisco Canaro,,Instrumental,Orquesta,Carlos Di Sarli,12-7-1957,1957.0,Buenos Aires,RCA-Victor,1A-1333 T0231,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\01 Carton Juano.mp3,01 Carton Juano.mp3,Carton Juano,Juan D'Arienzo (Alberto Echagüe),,,,,,,,,,,,,,,,,0.0,not_found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\01 Comparsa Criolla.mp3,01 Comparsa Criolla.mp3,Comparsa Criolla,Ricardo Tanturi (Instrumental),https://www.todotango.com/musica/tema/2524/Comparsa-Criolla/,2524.0,Comparsa Criolla,Tango,,Rafael Iriarte,,Instrumental,Orquesta,Ricardo Tanturi,16-6-1941,1941.0,Buenos Aires,RCA-Victor,39316 59519,,1.0,found
c:\Users\Vanessa\Desktop\Columbia\Spring 26\GenAI\Project\genai_atdj\notebooks\..\data\raw\01 Cosas De Tango.mp3,01 Cosas De Tango.mp3,Cosas De Tango,Miguel Caló (Raúl Iriarte),https://www.todotango.com/musica/tema/3493/Cosas-de-tango/,3493.0,Cosas de tango,Tango,1945.0,Tito Ribero,Rodolfo Taboada,Raúl Iriarte,Orquesta,Miguel Caló,2-11-1945,1945.0,Buenos Aires,Odeon,30006 15060,,1.0,found
